from_stop_id,to_stop_id,transfer_type,min_transfer_time
1001321,1000795,2,138
1001322,1001321,2,19
1003362,1003361,2,23
1001697,1001696,2,43
1003117,1003118,2,96
1003117,1003360,2,19
1003117,1003655,2,56
1003117,1003337,2,74
1003164,1001457,2,20
1003164,1003360,2,137
1003164,1003655,2,119
1002869,1001255,2,129
1002869,1003801,2,47
1001256,1001255,2,36
1001256,1003801,2,118
1001456,1007512,2,133
1001456,1007513,2,39
1001456,1000265,2,117
1000265,1007512,2,27
1000265,1007513,2,87
1000265,1001456,2,117
1003639,1003638,2,56
1003654,1001638,2,106
1003654,1003638,2,119
1001949,1008379,2,29
1001051,1001052,2,39
1003974,1003973,2,23
1003974,1000848,2,114
1003974,1000847,2,120
1008342,1003973,2,141
1008342,1000848,2,43
1008342,1000847,2,32
1006472,1000479,2,36
1006472,1003526,2,99
1001708,1004263,2,39
1001445,1001444,2,20
1001445,1004263,2,140
1001728,1001874,2,121
1001728,1001892,2,24
1001728,1002356,2,139
1002356,1001874,2,28
1002356,1001892,2,130
1002356,1001728,2,139
1007547,1002592,2,38
1003330,1003331,2,41
1003330,1001166,2,21
1003330,1008344,2,34
1008344,1001555,2,126
1008344,1003331,2,20
1008344,1001166,2,45
1008344,1003330,2,34
1001167,1001555,2,31
1001167,1003331,2,142
1001635,1001636,2,25
1001635,1002584,2,135
1000198,1001336,2,11
1000198,1002191,2,120
1000198,1002289,2,118
1002098,1001317,2,115
1000007,1002288,2,35
1003138,1003516,2,112
1003138,1002097,2,13
1003138,1007619,2,140
1007619,1003516,2,28
1007619,1003138,2,140
1001067,1003826,2,27
1003160,1003159,2,40
1001842,1000505,2,87
1002194,1000931,2,40
1003157,1003158,2,44
1003157,1007613,2,90
1007613,1003158,2,47
1007613,1003157,2,90
1007613,1001178,2,136
1001178,1001179,2,12
1001178,1007613,2,136
1004047,1004048,2,18
1003245,1007620,2,40
1003434,1001078,2,38
1000684,1002452,2,41
1001012,1003378,2,102
1001852,1001851,2,19
1001472,1001471,2,22
1002654,1002653,2,17
1000117,1000116,2,25
1000119,1000118,2,14
1002067,1002068,2,20
1003162,1007614,2,24
1003162,1000368,2,93
1003162,1008668,2,140
1000959,1007618,2,41
1000959,1000368,2,124
1000959,1008668,2,105
1006475,1006477,2,24
1006478,1006479,2,29
1006480,1006481,2,33
1009142,1000632,2,23
1000966,1000967,2,48
1008403,1006874,2,121
1008403,1006885,2,33
1008403,1003514,2,136
1006874,1008403,2,121
1006874,1006885,2,127
1006875,1003422,2,93
1006875,1003421,2,127
1003422,1006875,2,93
1003422,1003421,2,48
1006876,1006877,2,92
1006876,1003421,2,119
1006877,1006876,2,92
1006877,1006878,2,131
1006878,1006877,2,131
1006878,1006879,2,142
1006879,1006878,2,142
1006882,1003838,2,136
1001527,1000859,2,61
1001527,1003838,2,103
1006883,1004129,2,73
1006883,1000859,2,109
1006883,1004130,2,57
1000602,1003147,2,26
1000088,1003210,2,72
1003505,1000447,2,17
1006885,1008403,2,33
1006885,1006874,2,127
1006885,1008070,2,139
1006885,1003514,2,103
1008070,1006885,2,139
1008070,1003514,2,68
1008071,1003580,2,110
1008071,1001254,2,22
1003580,1008071,2,110
1003580,1001254,2,121
1001284,1000853,2,104
1001284,1001283,2,36
1001284,1001093,2,130
1006889,1008072,2,141
1008072,1006889,2,141
1008072,1001925,2,86
1008072,1002384,2,132
1008072,1000567,2,89
1003577,1003576,2,58
1002292,1001252,2,33
1004109,1001312,2,126
1004109,1002323,2,37
1001577,1001576,2,28
1002688,1002489,2,86
1002688,1000640,2,107
1002688,1002689,2,22
1003220,1003221,2,32
1008069,1000922,2,30
1001647,1001651,2,114
1001647,1001652,2,78
1000682,1002863,2,106
1000682,1002864,2,106
1000080,1003283,2,111
1000080,1003282,2,66
1000080,1002864,2,125
1006907,1006910,2,32
1002909,1003148,2,77
1002909,1003211,2,96
1002909,1003012,2,9
1002909,1008644,2,116
1002909,1002321,2,97
1003148,1002909,2,77
1003148,1000362,2,134
1003148,1003211,2,19
1003148,1003012,2,82
1003148,1008644,2,88
1000362,1003148,2,134
1000362,1001319,2,26
1000362,1003211,2,121
1006905,1006904,2,11
1006903,1002045,2,106
1006903,1006902,2,11
1006903,1001177,2,69
1002045,1006903,2,106
1002045,1002044,2,114
1002045,1006902,2,118
1002045,1001177,2,87
1003925,1003924,2,90
1006901,1006900,2,83
1006901,1003924,2,85
1006901,1003990,2,100
1006901,1003991,2,99
1003350,1003351,2,39
1003350,1006900,2,79
1006899,1006898,2,15
1006899,1003307,2,48
1006899,1003306,2,46
1006897,1002721,2,63
1006897,1002722,2,121
1006897,1006896,2,72
1006897,1003825,2,135
1002721,1006897,2,63
1002721,1002722,2,65
1002721,1006896,2,14
1002721,1003825,2,138
1002968,1003823,2,16
1002968,1000610,2,125
1002968,1000110,2,141
1002238,1001962,2,36
1002238,1002821,2,93
1006895,1006894,2,54
1006908,1000704,2,25
1006908,1008088,2,66
1006909,1003522,2,12
1006909,1000129,2,127
1006909,1000353,2,99
1003522,1006909,2,12
1003522,1000129,2,133
1003522,1000353,2,107
1000704,1006908,2,25
1000704,1008088,2,91
1006894,1006895,2,54
1001962,1002238,2,36
1001962,1002821,2,122
1001962,1000927,2,131
1001962,1003689,2,113
1002821,1002238,2,93
1002821,1001962,2,122
1003823,1002968,2,16
1003823,1000610,2,123
1003823,1000110,2,141
1002722,1006897,2,121
1002722,1002721,2,65
1002722,1006896,2,67
1006896,1006897,2,72
